        	        	        	        	        	        	EARNINGS	        	        	        	        	
    4.01	   -5.63	   -1.53	    1.73	   -0.34	    2.39	    2.67	    1.79	   -2.23	   -2.28	   -4.01	
    2.46	    3.09	    1.67	   -1.97	   -0.17	   -4.19	    0.00	   -1.22	   -4.42	   -2.96	    1.91	
   -2.06	   14.44	   -8.72	   -1.01	    1.52	    0.75	    0.00	   -1.49	    1.01	   -0.25	   -5.25	
   -5.24	    1.61	    0.91	    0.45	   -1.79	    0.91	    0.00	    3.61	   -2.40	   -2.01	   -5.47	
   -3.66	    0.00	    7.59	   -1.18	    5.95	   -2.25	   -1.15	   12.79	    1.03	   -2.04	  -10.42	
   13.39	    3.15	   -8.40	   -4.17	    5.22	    3.31	  -11.20	  -21.62	  -10.34	    0.00	    0.00	
   10.98	   -3.30	   -2.27	    4.65	   -3.33	    1.15	    1.14	    4.49	   16.13	   -2.78	   -0.95	
    0.28	   -0.21	    2.38	   -1.64	    3.48	    0.74	    0.13	    2.47	    9.11	    4.77	   -2.22	
   -2.24	   -1.36	    0.29	   -1.96	   -1.18	   -1.57	    1.37	    6.14	   -0.49	    2.06	    0.69	
   -0.79	    0.20	    4.71	    2.30	   -2.21	   -2.52	    3.81	   -1.96	   -0.63	    2.23	   -3.03	
   -2.36	    0.91	    0.25	   -2.05	   -1.06	   -2.37	   -2.76	    0.34	    0.30	    0.24	   -2.12	
   -1.72	    6.12	    2.34	   -0.43	    1.77	    1.59	   -0.47	    3.18	   -0.60	    0.87	    1.58	
    0.75	   -2.89	    1.41	   -1.01	    2.29	   -3.29	   -3.88	  -16.01	   -0.81	    0.14	   -2.02	
    0.31	    4.82	    0.90	   -4.01	   -1.90	   -0.73	   -4.26	    2.55	   -3.23	    2.90	    2.60	
    5.78	   -1.38	    2.86	    2.25	   -0.90	    2.47	   -6.57	    1.98	    3.96	   -2.17	    0.77	
    0.16	   -0.05	   -1.25	    1.79	    1.50	    0.56	    4.47	   -1.60	   -4.44	    2.79	    1.96	
    0.75	    0.70	    4.69	    2.55	    1.24	   -2.23	   -2.28	    2.23	   -0.65	   -1.12	    1.89	
    0.98	   -6.00	   -3.34	    0.20	   -1.98	   -0.57	   -2.29	    0.64	    1.80	    0.62	    1.86	
   -1.02	   -1.42	    0.95	    0.22	    3.41	    0.37	    3.44	    3.25	   -1.06	    0.88	   -0.45	
    1.82	   -0.85	    2.01	   -0.65	    1.09	   -0.07	   -2.16	    0.65	    1.75	   -3.27	    2.71	
   -1.42	    2.02	   -0.96	   -0.23	   -0.03	   -2.26	    7.94	    4.73	    3.04	    0.54	   -1.28	
   -0.53	    1.37	   -1.62	   -0.12	   -0.53	   -1.12	    3.24	   -2.47	    4.51	   11.08	    0.04	
   18.95	   -4.23	    2.72	    1.05	   -2.05	    0.32	    3.52	    3.64	    3.82	    1.90	   -2.24	
    1.31	    0.97	    3.67	   -4.76	    6.90	    0.46	   -4.22	    4.78	   -0.76	   -2.23	   -4.33	
   -1.55	    0.54	   -1.21	   -4.43	    1.78	    0.05	   -7.19	   -2.05	   -3.11	    0.89	   -0.55	
   -1.39	    1.60	   -0.13	   -1.69	    1.35	   14.47	   11.93	    0.29	   -1.04	   -1.21	    0.36	
    4.61	   -1.21	   -2.14	   14.52	    9.34	    4.64	   -0.81	   -1.62	   -0.05	   -0.36	   -0.06	
    2.65	    0.98	   -0.43	    1.95	   -0.84	    1.83	    5.98	   -0.90	   -3.01	    0.20	   -0.27	
    0.00	   -3.18	   -0.70	   17.97	    2.20	   -4.71	    1.03	   -3.87	   -2.97	   -7.21	   12.71	
    4.12	   -4.10	   -1.18	   -3.28	    0.31	   -3.08	   -2.06	   -2.59	   -9.32	   -3.49	  -11.22	
    0.17	    6.29	   -9.60	    0.53	   -1.58	    3.40	   15.05	    2.11	    4.12	   -4.10	   -1.18	
    5.58	    0.37	    1.18	    5.29	   11.26	    0.72	   -0.41	   14.76	    6.03	   -0.78	    0.23	
   -0.90	   -1.54	    3.79	   -9.91	    2.00	   -2.61	    2.18	  -11.40	    4.41	   -1.74	    7.40	
    6.36	    0.27	    1.07	   -1.10	   -9.29	    0.25	   -3.15	    1.13	    5.58	    0.37	    1.18	
   13.51	   -4.76	   -5.00	   -3.51	    5.45	    0.86	   -3.42	  -17.70	   12.90	   13.33	   -2.52	
    2.86	   -4.63	   -2.43	   -1.99	   -2.54	    3.13	   15.15	  -21.49	    6.15	   -5.79	   -3.35	
    3.02	  -13.66	    3.39	   -2.19	   -4.47	  -11.70	   -0.66	  -13.33	   -7.69	  -10.83	  -11.21	
   -0.19	    0.00	   -1.34	   -0.78	   -2.34	   -1.60	    1.63	    0.40	    0.20	   -0.60	    0.00	
    1.20	   -0.99	   -0.20	    1.00	   -0.79	    0.60	    0.00	    1.19	   -1.18	    0.60	   -0.55	
   -4.03	   -2.28	    5.56	   -5.77	    5.95	    5.27	   -7.92	    8.42	   -5.02	   -2.21	    0.35	
    1.77	    6.77	   -0.49	    0.33	    2.28	  -10.83	    1.79	   -1.93	    5.37	   -4.07	    4.07	
    1.48	    1.81	   -1.31	    0.87	   -0.62	    3.34	    1.97	    4.15	   -0.55	    2.26	    1.05	
   -0.98	    4.45	    2.19	   -2.96	    1.05	   -0.02	    2.38	    1.85	   -3.28	    0.23	   -0.68	
   -2.27	   -3.84	   -1.82	   -1.52	    3.05	    1.97	   -6.08	    2.44	   -1.29	    1.48	    1.81	
   -2.18	    2.79	   -2.44	    3.06	    7.82	   -3.00	   -2.06	    0.53	   -0.79	   -3.17	    3.00	
    4.23	    1.56	    1.23	   -0.61	    0.00	    6.73	    0.57	   -6.84	    3.67	   -2.06	    3.92	
    1.63	   -1.88	    0.00	   -3.01	   -0.28	   -0.56	   -2.84	   -3.80	   -2.13	    2.48	   -0.30	
   -2.11	   -0.41	    4.67	   -2.30	    3.20	    9.25	   -2.04	    3.35	   -6.93	   -2.31	    0.82	
   -1.08	   -2.43	    1.68	   -4.88	    0.51	   -2.63	    0.02	   -1.79	   -2.52	    0.91	   -1.53	
   -5.41	   -0.57	   -0.84	   -1.59	    3.82	   -4.98	  -20.76	   -1.97	   -4.25	   -2.13	   -6.71	
   -2.17	    1.67	  -15.85	    0.65	   -1.94	    3.95	   -1.27	   13.46	    2.82	   -3.30	    2.27	
   -1.25	    5.70	   -5.99	    8.92	    1.75	    7.47	   -7.49	    1.73	   -4.55	    0.60	    0.59	
    0.96	    3.81	   -1.83	   -8.41	   -3.06	    3.16	    1.02	   -6.57	   -2.16	   -0.55	    0.00	
    3.28	   -6.03	    1.27	   -1.25	    1.55	    0.35	   -0.76	   -0.84	   -0.70	   -0.07	    0.42	
    0.21	   -0.21	    0.76	   -0.07	    1.38	    1.70	    0.33	   -1.60	    1.56	   -5.41	    1.27	
   -0.71	    2.43	   -1.33	   -0.14	    0.28	    0.28	   -3.67	   -5.56	    3.33	   -2.85	    1.08	
    0.00	    0.00	    1.89	    5.19	    0.21	   -0.98	   -0.64	   -0.04	   -1.54	   -0.25	   -5.75	
   -0.96	    1.08	   -1.26	    1.47	   -1.52	   -1.04	    7.11	    6.46	   -2.23	   -4.84	   -3.10	
    2.48	   -1.08	    2.30	   -1.79	    0.00	    0.73	    0.47	    0.97	   -0.36	    1.79	   -0.11	
    0.00	    7.72	    2.05	   -6.38	    0.00	    2.28	   -2.20	    4.29	    2.94	    1.59	    0.31	
   -2.00	   -1.22	  -13.22	    7.14	  -10.67	  -13.43	   -5.75	   -3.66	   -5.70	   -2.68	  -18.62	
    0.00	   -2.91	    5.99	    5.08	   -8.60	  -12.94	   -2.70	   -4.17	    0.72	    0.00	   -1.01	
    7.06	   -9.89	   -5.49	   -0.65	    3.38	   -2.64	   13.55	    0.00	   -6.82	   -1.22	    8.64	
   -6.82	   -1.22	    8.64	   -9.66	    1.26	   11.18	   10.61	    2.42	    1.58	   -2.91	    0.00	
   -3.38	   11.09	    0.09	    9.43	    0.74	    4.40	   -3.36	   -2.42	   -2.48	   -1.87	   15.83	
    0.21	   -6.74	    0.30	    9.83	   -9.23	   12.88	    0.20	  -11.25	   -1.20	   -0.84	   -1.99	
   -9.21	    3.17	   -3.88	   -5.92	    3.89	    7.30	   -4.30	  -23.48	   -0.12	   15.54	    0.74	
   -3.60	   -0.55	   -4.55	    2.69	    0.43	   -0.25	    2.04	   -1.55	   -1.20	   -0.65	   -0.46	
    0.63	   -1.54	   -0.16	   -1.45	   -0.57	    1.81	    0.25	    1.54	    1.13	   -1.22	   -3.33	
   -0.98	    0.87	    1.14	   -1.06	    0.52	    1.19	    0.30	    0.84	    0.67	    0.57	    1.76	
   -0.09	    0.67	   -0.64	   -0.03	    0.39	    0.30	    0.86	    1.99	   -0.27	   -0.43	    0.09	
   -0.13	    0.71	   -0.09	    0.18	   -0.48	   -0.52	    0.26	    4.43	    0.49	    0.07	    0.54	
   -0.33	    0.67	   -2.33	    0.34	    1.02	   -3.02	   -0.69	    2.09	   -1.02	   -0.69	   -0.69	
   -2.33	    0.34	    1.02	   -3.02	   -0.69	    2.09	   -1.02	   -0.69	   -0.69	    2.10	    5.14	
    0.33	    2.99	   -0.65	   -4.22	   -1.69	    2.76	    0.00	    1.34	   -1.32	   -1.01	    2.71	
    0.58	   -1.62	    0.20	    1.21	    0.46	   -0.67	   -6.60	    2.07	   -0.76	    2.67	   -1.88	
    0.18	    1.51	    0.82	    1.22	    2.33	   -1.13	   -0.52	   -0.84	    3.65	    0.02	    2.29	
    3.99	    0.93	   -1.46	    6.44	   -4.00	    2.43	    2.05	   -4.69	    0.21	    2.89	   -0.16	
    0.68	   -6.09	    8.89	   -2.87	   -1.14	    2.30	    3.82	   -0.65	   -0.44	   -3.06	   -2.71	
  -10.69	   -2.00	   -1.02	    0.26	    6.41	   -3.61	    1.00	   -4.46	   -5.44	   -1.10	    1.39	
    0.09	    0.36	    1.33	   -3.07	    0.00	   -1.81	   -0.46	   -3.24	    0.00	   -4.78	    3.52	
    3.03	   -1.96	    5.50	    3.79	   -1.37	    2.78	   -1.35	    3.65	   -2.64	   -0.45	    0.00	
   -3.62	   -5.52	   -5.97	    0.40	   -1.19	    0.00	    2.80	    2.08	    2.67	   -7.30	    2.94	
   -0.39	    0.91	   -3.48	    1.60	   -0.92	    0.13	   -4.51	   -9.03	    3.36	    3.40	    0.29	
   -9.76	    1.05	   -0.59	   -0.60	    4.21	   -0.58	   -1.31	   -2.94	   -2.27	   -3.41	    2.25	
    1.92	   -0.69	   -0.63	    8.86	   16.52	    4.63	    2.16	    4.33	    0.72	    7.21	   -9.94	
   -2.68	    0.17	   -0.58	    1.34	   -0.58	   16.28	    3.14	    7.34	    0.97	    0.19	    7.84	
   -1.78	   -3.30	    0.42	    0.86	   -0.45	   -0.13	   -2.68	    9.38	    0.21	    0.17	    3.50	
   -4.74	   -0.39	    2.31	    1.36	   -1.48	    1.02	   -6.38	    3.16	    1.08	   -3.71	   -0.67	
    0.52	   -1.50	    0.00	    0.38	    3.53	    0.16	   -0.33	   -2.49	    0.61	   -2.24	    0.00	
    7.49	    8.48	   10.34	   -6.08	   -2.16	    3.03	    5.08	    4.07	    3.67	    0.24	   -1.65	
  -10.56	   11.48	  -10.00	    1.96	   -2.24	    1.31	    5.83	   11.93	    4.37	   -4.19	    2.46	
    3.86	    9.77	   -6.14	   -7.45	  -11.71	    0.28	   -6.34	   -7.35	    3.17	    1.85	   -9.97	
    4.07	   -7.42	   -2.53	    1.73	   -1.28	   -1.29	   -4.37	   -4.11	    2.38	   -1.40	   -1.42	
   -1.44	    3.90	    3.29	    0.91	    0.45	    0.00	   -2.69	    1.84	    4.98	    6.47	    0.00	
    2.65	    2.76	   -4.09	    0.91	    0.91	    0.96	   -0.95	    1.26	   -0.83	   -1.31	   -2.29	
   -3.88	    1.45	   -6.77	    6.88	    2.68	   -3.77	    3.20	   -0.94	   -2.12	    0.24	   -5.35	
   23.08	    2.68	    0.43	    5.19	   -7.00	   21.24	    3.28	    9.89	   26.37	  -20.10	    5.73	
   -4.46	    8.00	   11.11	   -1.11	   -1.69	    1.71	    1.69	    0.55	   23.08	    2.68	    0.43	
    1.55	    0.69	   -4.31	   -7.39	    3.19	    2.64	   -2.61	   -0.23	   -0.68	    1.37	   -5.52	
   -0.81	    0.56	    5.06	    5.56	   -4.46	   -3.97	    3.23	   -0.35	    1.80	   -2.91	   -0.96	
   -4.13	   -2.76	    3.64	   -2.38	   -0.22	   -0.30	    1.92	   -3.22	   -2.63	   -2.90	    2.95	
   -0.16	    4.51	   -8.71	    5.06	   -4.74	   -2.24	    6.87	   -1.59	   -0.73	   -0.89	   -5.00	
    5.17	   -2.00	   -0.43	    3.33	   -2.23	   -0.59	   -0.26	    2.90	    1.82	   -4.96	   -4.71	
   -0.61	   -2.46	    0.31	    3.30	    0.91	    2.26	    2.36	    7.63	   -5.88	    2.27	    1.39	
   -1.39	   -3.08	    5.29	    0.75	    2.62	    1.82	   -2.63	  -17.89	   -0.15	   -2.09	   -0.61	
    3.59	    0.93	    1.45	    2.60	   -0.89	    0.38	    2.17	  -23.35	   -2.77	   -0.67	   -2.36	
  -13.49	   -8.60	   -2.94	    3.03	   -5.88	   28.12	   -9.76	  -13.51	    0.00	   -3.13	    0.00	
    2.70	    2.63	   -2.56	    5.26	    1.00	    1.49	    2.44	   -9.52	  -10.53	    0.00	   -2.94	
   -0.16	    0.64	   -0.64	    2.25	    0.00	   -1.42	    4.47	    3.05	   -0.74	   -1.79	    2.13	
    8.99	    1.01	   -8.17	   -4.52	   -1.63	    1.33	    2.79	   -1.44	    2.27	    0.79	    0.47	
    3.80	   -0.56	    1.84	   -3.06	   -1.15	   -2.46	    0.30	    3.11	    1.87	   -0.71	   -2.13	
    0.37	    6.41	   -1.36	   -2.90	    2.84	   -1.87	    0.32	   -0.29	   -0.68	    0.29	   -8.90	
    0.40	   -2.25	    3.07	   -2.19	    3.81	    1.71	   -6.50	   -1.08	  -12.23	   -8.48	   -1.17	
    3.26	   -5.84	   -0.82	    4.12	   -5.89	   -5.67	   -2.32	   -5.65	    2.66	    3.95	   -4.94	
    4.24	   -9.82	    7.15	   -0.82	   -0.10	   -5.60	   -2.85	    3.05	   -6.69	    6.35	    0.44	
    0.99	   -2.85	   -0.18	   -0.28	    2.95	   -1.16	   -7.71	   -3.73	   -1.02	    0.10	   -6.90	
   -0.57	    2.87	   -5.83	    3.38	   -0.86	   -3.93	    4.21	    0.69	    3.04	   -2.90	   -4.27	
    3.75	    2.82	   -2.04	    3.26	    2.20	    2.34	    0.48	    2.83	    0.79	   -2.17	   -1.34	
    1.59	   -7.31	    3.99	   -0.72	   -0.68	   -1.56	    1.02	    0.78	    0.09	   -4.20	   -1.76	
   -0.79	   -2.54	    6.64	    3.69	   -3.00	   -1.43	   -0.87	   -1.90	   -4.22	    1.76	    0.76	
   -5.44	   -1.44	    2.19	   -2.14	    3.65	   -7.75	    3.05	   -1.48	    0.75	   -2.99	    0.00	
    2.24	   -4.38	   -0.76	    0.00	   -3.85	    0.00	    0.00	    4.80	   -0.76	    0.00	    0.00	
   -7.89	    1.90	    8.41	    4.31	   -4.96	    2.61	   -4.24	  -13.27	   -2.45	   20.29	   -2.61	
    2.62	    0.80	   -1.66	   -1.62	    2.99	   -6.02	   -2.08	   -9.62	    1.05	    2.07	   -2.20	
    1.32	    1.47	    5.23	   -0.54	    4.77	   -1.17	    2.38	    5.95	   -3.97	   -4.70	    2.62	
    0.59	    2.36	   -0.17	    3.80	    5.10	    1.21	   -5.39	   -0.40	   -3.49	   -0.66	    0.58	
   -2.35	    2.77	   -1.80	   -4.21	   -1.15	   -0.58	    1.56	   -4.21	   -2.80	   -3.50	   -2.35	
   -2.49	    8.12	   10.94	   -5.03	    5.09	   -4.46	    2.03	   -0.80	    3.21	    2.33	   -0.76	
   -3.06	    2.23	   -3.45	    0.19	    2.63	    3.11	    1.06	   -8.60	    4.99	    2.38	    0.00	
    7.87	    0.73	    0.65	    0.94	    0.71	    0.57	   -0.35	   -0.21	   -0.14	    0.00	   -3.12	
    2.50	   -3.30	    3.70	    0.29	    0.28	    0.14	   -0.71	    0.36	    0.36	   -1.84	   -2.10	
    3.16	   -0.64	   -2.73	    3.24	   -1.71	    1.09	    0.65	    0.00	    0.36	   -0.36	   -2.14	
   -7.04	    4.57	   -0.87	    2.27	  -10.71	   -7.72	   -3.29	   18.08	   -2.09	    1.74	    1.45	
    5.55	    0.93	   -3.47	   -2.12	   -7.57	    0.00	   -2.92	   -0.72	   -7.04	    4.57	   -0.87	
   11.05	   -1.57	   -0.53	   -1.07	   -1.08	    7.65	   -7.11	    6.01	   -0.52	    0.52	    6.70	
    1.45	   -2.38	   -2.44	   -1.00	    3.03	   -1.47	    5.47	   -0.47	   -0.47	   -3.81	    0.99	
    2.86	   -6.48	    0.50	    4.43	   -4.72	   -0.50	   -1.00	   -0.50	   -4.04	    1.05	    4.17	
    1.99	   -4.17	    1.19	    1.18	   -1.78	   -0.84	    3.66	   -1.49	   -0.90	   -2.71	    0.36	
   -0.90	    1.88	    1.99	   -3.09	   -1.52	    0.99	    2.79	    1.42	   -0.27	   -1.27	   -1.63	
   -3.68	   -8.20	   -7.14	    7.05	    7.19	   -0.56	   -1.69	   -1.71	   -6.40	   -9.94	    0.00	
  -11.30	  -12.26	    7.53	  -11.00	   -6.18	   11.98	   11.76	  -23.44	    4.37	    0.60	    7.14	
   -3.52	   -2.92	   47.37	  -18.37	    4.37	   -3.59	   -0.62	    6.25	   -4.12	   -1.23	   18.63	
    9.04	   -6.63	   -1.18	   -8.38	   10.46	   -2.37	   -0.61	    1.83	   19.76	   -2.00	   26.53	
  -12.26	    7.53	  -11.00	   -6.18	   11.98	   11.76	  -23.44	    4.37	    0.60	    7.14	   -4.44	
    1.91	    1.78	    2.31	    2.07	    3.53	   -3.07	   -0.88	    1.51	    0.87	   -4.25	   -0.09	
   -1.07	    1.80	    0.80	    0.53	    2.09	   -0.26	   -5.91	   -1.18	   -0.18	   -6.92	    1.98	
   -1.34	    0.91	    4.68	    0.26	   -2.14	   -0.18	   -2.19	   -6.28	    1.91	    1.78	    2.31	
   -2.54	    2.60	   -4.89	   -0.57	   -2.49	   -4.32	    3.08	   10.76	   -3.06	   -3.15	   -1.15	
    4.43	   -1.02	    0.17	    2.23	   -2.51	    1.55	   -1.18	    1.54	    1.52	    3.49	   -0.16	
    0.39	   -2.70	   -0.79	   -1.60	   -1.63	   -3.72	    0.43	   19.66	    0.71	    0.71	   -4.23	
    0.00	   -1.40	    1.07	    3.87	   -3.73	    0.00	    2.82	  -14.73	    1.20	    3.57	    0.38	
    3.57	    0.38	   -0.38	   -2.30	    0.39	   -1.17	   -0.79	    2.79	    3.10	   -2.63	    0.39	
    0.55	   -0.62	    0.16	    3.53	    4.05	   -0.84	   -7.30	   -4.39	   -1.49	    5.17	    2.08	
   -2.35	   -1.45	    2.75	   -1.51	    1.19	    0.72	    6.15	    1.24	   -4.68	   -6.59	    0.55	
   -3.05	   -4.57	   -2.69	    5.79	    0.90	    2.17	  -14.48	  -10.54	   -3.37	   -0.51	   -0.77	
    4.39	   -1.49	    3.44	  -15.67	   -4.76	   -0.30	   15.93	   12.61	   -4.22	    2.31	    1.03	
    2.27	    3.16	    1.59	   -8.51	   -2.68	   -1.42	  -16.60	   11.83	   10.85	   -1.39	    1.16	
    5.22	    3.33	    2.88	   -9.85	    3.89	    8.01	   11.73	   -1.78	   -5.31	    3.16	    0.10	
    2.56	   -0.50	   -4.52	    1.32	    2.60	   -3.80	   -6.58	    5.63	    1.33	    0.00	   -3.95	
   -2.06	   -2.63	    5.41	   -2.56	   -1.32	    1.33	    3.95	   -6.33	    4.05	    0.00	   -1.30	
    1.35	   -4.00	   -1.11	    2.53	   -2.74	    0.00	   -8.45	    3.08	   -2.99	    1.54	    3.03	
   -1.37	   -6.01	    2.18	    5.20	    1.82	    3.54	    1.65	    9.44	   -1.21	   -6.57	    4.56	
    2.91	    2.59	    3.38	    1.87	    6.92	    4.84	   -4.92	   18.11	    3.99	   -3.79	    3.00	
   -5.34	    7.10	    4.52	    5.49	   -5.82	    4.35	   -1.32	   -4.35	    3.42	    2.79	   -5.50	
   19.20	    4.36	    1.45	   -0.08	    0.71	   -3.62	    2.78	   13.67	   -2.94	    5.76	    2.59	
    1.25	   -3.79	    4.20	    2.55	   -1.04	   -2.35	   -3.24	   -5.15	   -1.27	    3.21	   -0.18	
    6.56	   -1.96	    4.81	   -1.78	    3.76	    1.75	   -1.97	   11.03	   -1.92	    0.46	   -4.35	
    4.67	   -1.71	    3.49	    0.11	    2.69	    0.98	    2.92	   17.25	    1.88	    2.90	    4.53	
    3.61	   -4.52	   -1.62	    1.65	   -2.84	    2.64	    1.22	    0.27	   -1.07	   -4.72	    0.57	
    0.69	   -2.41	   -2.70	    7.24	   -2.25	    0.00	    0.00	    4.03	   -5.20	   -1.28	    3.43	
    0.57	    7.46	    6.68	   -2.95	   -1.01	    4.09	   -0.12	    2.46	    0.72	   -1.91	    5.22	
    2.08	    0.91	    1.68	   -5.30	    1.86	    0.92	    0.23	  -25.45	    3.34	   -0.15	    1.47	
   -3.52	    2.19	   -0.36	   -2.15	    2.56	    1.07	    0.71	   -8.07	   -3.44	   -3.56	    0.41	
    0.00	    4.64	   -0.34	    5.48	   -1.30	    0.00	    2.96	  -13.42	   -4.06	   -1.15	    1.95	
    6.75	   -4.83	    3.52	   -2.64	   -6.20	    4.96	    7.09	    6.25	   -0.69	   -2.79	    1.08	
    0.57	   -2.55	   -1.37	   -0.88	   -2.16	    3.43	   -0.03	  -10.52	   -6.90	   -0.56	    3.57	
    0.93	   -0.54	    3.31	    2.61	   -1.09	   -4.23	   -0.38	   -4.31	   -1.53	   -0.65	    0.58	
    2.27	   -0.57	    6.54	   -1.50	    1.44	   -5.07	   -0.88	  -14.98	   -0.50	    2.02	  -11.60	
   -1.12	    3.81	   -0.14	   -1.77	   -0.55	    1.95	   -0.55	   -1.51	    2.79	   -1.90	    0.55	
   -0.45	    1.80	    4.57	    2.82	    6.04	    3.75	   -9.60	   -1.10	   -0.70	    0.98	    3.20	
   -4.60	    0.00	    1.36	    0.60	   -2.37	    1.21	   -0.75	    1.81	   -1.63	    1.36	   -0.15	
    1.47	   -4.67	    1.99	   -1.82	    0.86	    1.11	    9.92	   -0.88	   -1.96	   -3.70	    4.85	
   -4.14	   -2.77	    1.90	   -2.68	   -0.38	    0.83	   -1.78	    0.19	    3.17	   -0.38	   -1.32	
  -15.58	   18.38	    1.31	   -3.75	   13.04	    3.51	   -8.52	  -16.13	    7.62	   18.73	    6.63	
   11.64	   28.09	   13.72	    2.52	    0.90	   -0.26	  -12.78	    5.45	  -13.27	    1.93	   -5.21	
   -9.21	   -1.48	    3.77	    1.94	    5.85	  -11.81	   15.42	    2.57	   -8.38	    6.48	    7.04	
   -3.92	    1.93	   -3.37	    4.14	    4.18	    1.81	   -5.52	   -3.97	   -4.13	   -0.91	   -2.75	
    5.30	   -0.44	    3.96	   -5.29	   -4.91	    2.58	    6.86	   16.92	    7.69	    0.00	  -13.95	
    2.21	   -1.08	    3.65	    3.17	    2.73	    0.00	    4.32	   20.06	   10.08	   -1.69	    2.45	
   -2.05	    3.33	    1.66	    0.37	   -0.85	    1.07	    2.91	   -0.71	    1.36	    0.50	   -1.13	
   -1.11	   -0.67	    1.78	    1.41	    0.78	    0.98	   -1.53	   -0.50	    2.52	    1.60	   -2.27	
    0.59	    2.25	   -0.25	    3.16	   -0.10	    3.47	    2.27	    7.55	    1.38	   -1.23	   -1.54	
    0.41	   15.82	   -8.63	    0.14	   -9.00	    0.53	   -0.79	    0.80	    1.84	    4.13	    2.58	
   -2.53	    2.39	    1.32	   -2.35	   -1.79	    1.04	    0.52	   16.45	   -7.95	   -2.88	    1.23	
    0.98	   -2.22	    1.14	    2.10	   -1.44	    0.53	   -3.91	    3.77	    0.00	   -2.42	    0.00	
   -4.74	  -13.57	   12.30	    0.70	   -1.85	   -1.89	   -2.64	  -24.20	   -3.26	   -6.73	   36.82	
   -2.17	    9.88	  -25.50	  -13.30	   -7.95	   -3.70	   10.26	  -11.34	    3.93	   -2.52	   15.86	
    0.00	   -2.31	   -0.66	  -39.89	   11.21	   -5.93	    6.93	    6.48	  -28.78	   -9.59	   -4.87	
   11.43	   -4.63	   -8.44	    3.00	   -2.91	   -0.23	    6.00	   -1.53	   -2.43	    5.90	   -3.21	
  -17.96	    4.15	   -2.36	    3.53	    4.12	   -4.82	    4.70	   -3.63	   -6.45	   -7.47	    2.28	
    1.61	   -7.03	   -1.32	   -2.49	   -3.14	   -7.51	    7.02	    2.25	   -5.41	   -6.14	   12.87	
   -4.23	    3.68	    1.42	   -4.20	   -2.19	   -2.24	    6.87	   -1.43	   -7.97	   -6.30	   -3.36	
   -4.92	    7.76	    0.80	   -0.79	   -2.40	    1.64	   -8.06	   -7.89	  -13.33	   -6.59	   11.76	
   -2.91	  -10.18	   -4.67	    1.40	    8.97	   -5.06	   11.33	  -11.98	   -8.16	    2.22	    3.62	
    3.75	    3.21	   -2.90	    0.96	    0.43	   -2.72	    1.97	   -1.17	   -1.98	   -4.15	   -1.90	
   -1.82	   -2.85	   -3.67	   -8.73	    0.23	   -3.35	    0.09	    9.84	    2.15	   -1.30	   -2.63	
    0.60	   -1.80	   -2.04	    0.05	    1.62	   -2.97	   -0.39	    4.05	    1.21	    0.91	    8.80	
   -0.14	   -0.41	    1.91	    2.07	    0.27	    1.14	    9.78	    5.80	   -0.38	   -0.84	    0.32	
    4.35	    2.45	   -2.63	    9.34	   -0.90	   -1.93	   -1.16	    0.58	   -0.58	   -4.68	   -2.70	
   -4.21	    2.14	   -8.96	    3.20	   -3.97	   -4.65	    5.28	    5.27	   -0.37	   -2.21	   -2.63	
    1.85	    0.30	   -4.54	    1.27	   -1.10	   -0.79	    0.96	    1.42	    1.87	   -1.99	   -1.40	
   -1.74	    3.84	   -3.98	    4.59	   -4.53	   -3.26	    3.99	    2.51	   -1.15	   -2.91	   -2.70	
    4.49	   -6.82	   -0.03	    1.24	    0.46	    1.10	   -1.54	   -1.98	   -1.66	   -1.33	    1.28	
   -0.81	   -7.43	    1.12	   -0.47	   -2.34	    3.89	    1.50	    0.68	   -1.46	   -1.40	    0.52	
    0.83	    2.17	    0.88	    2.31	    1.33	   -1.36	   -4.88	   -0.63	    0.32	    0.27	    1.16	
   -1.21	    1.55	    0.23	   -1.06	   -0.18	    2.56	   -5.69	   -1.24	   -0.54	    0.94	   -0.90	
   -0.43	    0.85	   -1.54	   -0.80	    2.34	    3.58	    1.67	    0.45	   -0.59	    0.37	   -1.21	
   -0.38	    0.63	    2.89	    0.70	    2.01	   -0.53	    2.21	   -2.76	   -0.18	   -0.59	    4.87	
   -2.37	    4.33	   -2.56	    0.37	    2.85	    1.13	   -0.25	   -0.37	   -6.59	    0.41	    4.02	
    4.83	   -2.82	    1.90	   -2.93	    1.96	    2.97	    3.24	    3.60	   -0.88	    1.00	    3.03	
   -1.71	    2.75	   -0.80	    1.53	   -1.15	   -0.18	   -3.23	    2.87	    1.44	    0.09	    0.00	
   -0.89	    7.80	   -0.58	    0.92	    1.66	    3.34	   -1.42	    2.48	   -8.20	   -6.38	    1.00	
    1.06	    3.77	   -3.55	    3.15	   -0.85	    3.17	    6.22	    6.25	   -1.99	    1.95	   -3.83	
  -17.06	  -13.04	   -1.73	   -5.28	  -12.40	    9.20	    8.64	   -3.78	   -1.03	   -3.55	   -4.55	
   -3.55	   -4.55	   -5.67	   -1.44	   16.59	   -1.05	   21.56	    9.04	  -14.04	    5.75	   -7.72	
   -0.77	    2.33	    1.52	    2.99	    7.43	    1.01	    1.00	    7.11	   -5.40	   -3.26	    3.54	
