        	        	        	        	        	        	EARNINGS	        	        	        	        	
   -3.94	    7.73	    5.16	   -1.71	   -2.39	    2.67	    0.87	  -11.80	   -5.35	    0.77	   -0.26	
    0.95	   -2.26	   -7.72	   -6.07	   -2.45	    5.48	    1.08	    7.92	   -6.15	    1.69	   -9.56	
    5.08	    1.61	    4.08	    1.42	   -2.36	    2.86	    2.14	   -0.10	   -2.20	    1.50	   -0.11	
   -3.05	    4.77	    0.41	   -2.37	    3.38	   -1.63	   -0.62	    2.40	    2.34	    1.99	    0.00	
   -0.81	   -0.73	   -1.23	    4.66	   -5.37	    0.97	    3.21	    1.01	   -0.48	   -0.80	    4.53	
    5.31	   13.57	  -10.66	   -0.41	    7.95	   -6.54	    0.65	   -7.29	   -8.15	   -2.47	   -4.90	
    2.82	   -3.05	   -6.29	    2.01	   -1.64	    1.34	    7.26	   -6.15	   -5.25	   -5.88	    4.78	
    0.63	    4.06	   -2.40	    4.00	   -3.25	    1.04	   -5.27	    1.60	   -1.57	    1.92	    1.88	
    8.09	   -9.86	   13.96	   -6.29	   -6.01	    3.01	   -1.46	   13.70	   -2.93	   -2.01	    1.37	
   -6.59	    8.24	    3.26	   -1.05	    3.19	   -7.22	   -2.22	    0.00	    2.27	   -3.33	   -2.30	
   -4.17	   10.87	   21.57	    1.61	   -1.59	   -8.06	  -11.58	  -60.32	   12.00	  -15.18	    4.21	
   -3.33	   -2.30	   -7.06	   -2.53	   -3.90	   -5.41	  -10.00	  -12.70	  -12.73	  -14.58	   -4.88	
    0.25	    5.71	    1.49	   -5.66	   -0.06	    4.53	   -1.59	   10.76	   -1.21	   -3.25	    0.97	
    2.62	   -7.25	    4.74	   -2.37	    0.93	    4.72	    1.73	    3.98	    0.47	    4.23	   -3.25	
   -0.21	   -7.97	    0.05	   -0.37	   -0.98	   -2.78	    5.72	   -1.42	    1.58	   -0.96	   -3.52	
    2.17	    7.43	   -3.10	    2.59	    1.63	    0.40	   -2.35	   -2.22	    0.60	   -2.03	   -1.03	
   -0.55	   -5.66	    4.49	    0.01	   -1.28	    0.12	    7.07	   -1.00	    1.39	   -2.54	   -0.87	
    0.32	   -6.30	    1.06	    0.90	    2.60	    0.58	   -0.32	   -2.94	   -1.66	   -0.41	   -4.23	
    0.89	   -2.89	   -0.15	   -0.68	    1.65	   -1.94	    1.07	   -1.71	   -0.31	   -0.42	   -2.38	
    4.33	   -5.61	    2.33	   -1.01	    3.06	    1.98	   -1.21	   -1.47	   -2.99	   -2.83	   -0.53	
   -1.42	   -5.05	    2.78	   -0.25	   -3.21	    3.57	   -0.49	   -3.71	    3.60	   -1.49	   -2.52	
    8.31	    1.45	   -0.43	    0.43	    0.29	    0.43	    0.42	   -2.82	   -5.95	   -2.93	   -3.34	
   -0.29	    0.00	   -0.29	    0.15	   -1.03	    1.19	    1.47	   -1.45	   -0.29	   -8.85	    3.56	
   -0.29	    0.17	   -2.12	   -2.87	   -0.30	    1.69	    0.71	   -0.29	   -1.54	   -1.44	   10.37	
    1.40	    0.82	    0.62	   -0.62	   -1.68	   -0.32	   -3.88	   -1.85	    2.49	   -0.33	    1.06	
   -0.71	   -0.78	    3.01	   -0.12	    0.88	    1.22	   -0.29	   -4.03	   -1.14	   -3.34	   -1.13	
   -0.57	    2.87	   -5.83	    3.38	   -0.86	   -3.93	    4.21	    0.69	    3.04	   -2.90	   -4.27	
    3.75	    2.82	   -2.04	    3.26	    2.20	    2.34	    0.48	    2.83	    0.79	   -2.17	   -1.34	
   -1.03	    4.15	   -1.29	    0.30	   -4.12	   -5.14	    2.49	   -0.54	    2.17	    5.31	   -2.97	
    4.12	   -5.80	    1.68	   -0.28	    0.55	    0.00	    0.66	   -0.98	    0.33	   -1.65	    0.84	
    4.03	    6.66	   -2.37	    1.70	    2.07	   -3.12	   -0.32	    0.08	    1.94	   -0.55	   -1.03	
    0.40	   -2.88	   -5.85	    1.92	    0.34	   -0.86	    0.69	    4.71	   -2.05	    2.01	   -2.70	
   -2.58	   -0.87	   -8.54	    1.66	   -0.16	    0.51	    0.35	   11.01	   -2.59	    0.69	   -3.83	
    2.71	    4.43	   -4.46	    3.84	    1.86	   -1.83	   -1.80	   -0.61	   -0.16	   -3.32	   -0.69	
    4.72	   -3.64	    4.68	    1.20	   -8.75	    1.49	    7.71	   44.63	    3.95	    1.59	   -0.28	
    1.77	   -0.16	    2.99	   -5.12	    3.23	    3.02	   -3.40	   -7.09	    1.34	    1.96	    8.46	
   14.13	    0.40	   -0.80	   -6.70	    0.69	   -4.12	   11.02	   -8.31	   -3.96	    8.07	   -6.36	
    0.25	   -0.74	   -1.29	    0.80	   -0.25	    1.00	   -0.99	   -0.25	    0.00	    0.00	   -0.25	
   -2.09	    2.84	   -0.88	    1.12	   -2.76	    0.47	    1.18	   -3.91	   -0.05	   -2.66	   -0.60	
    0.67	    2.77	   -2.08	   -2.65	   -0.17	   -0.37	   -1.78	   -1.01	   -0.49	   -1.80	   -0.14	
    0.66	    3.11	   -3.05	    0.33	    0.47	    0.04	   -0.32	   -0.18	   -0.25	    0.25	   -1.19	
   -1.35	    1.23	   -2.67	   -0.77	    3.43	    2.32	   -7.67	    0.72	   -1.46	    3.88	    0.95	
    0.92	    5.26	    0.00	   -1.30	   -4.59	    0.00	    1.98	    2.19	    0.03	   -1.56	   -7.62	
    0.00	   -0.04	   -1.78	    3.26	    3.23	   -0.56	    1.29	   -2.66	    1.81	   -2.40	    2.50	
    3.45	   -0.86	   -0.62	    1.95	   -0.07	   -1.85	   -3.76	    6.90	   -4.87	    1.28	    2.02	
    4.84	    0.50	    0.82	    2.28	    5.73	    1.51	    2.52	   -6.22	   -4.48	    2.42	   -4.89	
   -4.89	    2.32	    0.65	   -1.45	    6.86	    1.53	    3.46	    5.82	    3.99	    1.85	   -2.21	
   -1.52	    3.16	   -1.62	    2.76	    0.27	   -1.96	    0.08	    0.38	    0.12	    1.27	    2.09	
   -4.42	    3.19	   -1.15	   -1.03	    3.03	    1.01	   -1.65	   -3.09	    0.49	    2.26	    2.84	
   -1.17	   -0.18	   -0.34	   -1.27	    0.60	    0.44	    0.18	    0.10	   -0.90	    0.91	   -4.42	
    1.26	   -0.21	   -2.29	   -2.56	   -0.88	   -1.99	    0.90	    3.35	    0.22	   -1.08	    0.44	
   -0.22	    0.43	    0.00	    1.72	    2.75	   -0.82	   -0.21	   -0.42	   -0.84	   -0.84	   -1.06	
   -3.14	    2.17	   -1.91	    7.62	    0.35	   -3.46	    4.45	    2.22	   -6.29	   -6.65	   -3.67	
    4.48	   11.26	   -1.51	    1.53	    1.40	    0.19	   -1.82	   -1.43	   -5.00	   -5.83	   -2.70	
    7.89	   -3.72	   -3.50	    5.37	   -2.49	   -1.95	    0.99	   -2.83	   -0.38	   -1.78	   -1.55	
   -0.79	   -1.71	   -5.81	    4.69	   -2.24	   -1.57	    6.61	   -2.30	    0.82	   -0.58	   -3.99	
    3.05	    1.96	   -3.54	    0.29	    3.56	   -0.50	   11.75	   -2.64	    0.29	   -0.61	   -0.67	
   -1.07	    0.43	   -5.59	    3.47	   -1.74	   -4.76	    6.42	    1.65	   -0.84	   -3.84	   -2.52	
    1.33	   -0.63	   -1.19	    0.49	    0.82	    0.49	    1.32	   -6.14	   -1.91	    0.61	    0.99	
   -1.39	    1.26	    0.69	    0.22	    0.69	    2.18	    1.69	    2.81	   -0.88	    3.76	   -2.38	
    1.14	    0.09	    1.50	   -1.75	   -1.28	    2.90	   -0.76	    2.94	   -3.13	   -0.74	   -1.64	
   -3.05	   -5.69	    2.70	    1.73	   -0.61	    1.44	    5.80	   -6.37	    0.27	   -1.76	    1.59	
    4.10	   -0.39	   -2.24	    0.27	    2.35	   -2.83	    0.95	   -0.33	   -2.22	    1.24	    0.95	
    1.82	   -0.85	    2.01	   -0.65	    1.09	   -0.07	   -2.16	    0.65	    1.75	   -3.27	    2.71	
   -1.42	    2.02	   -0.96	   -0.23	   -0.03	   -2.26	    7.94	    4.73	    3.04	    0.54	   -1.28	
   -1.02	   -1.42	    0.95	    0.22	    3.41	    0.37	    3.44	    3.25	   -1.06	    0.88	   -0.45	
   -0.83	   -0.36	    1.80	    7.79	    1.20	    0.65	  -13.12	   14.23	   -3.25	   -1.01	   -3.51	
   -3.39	    4.22	    1.35	   -2.11	    0.68	   -4.95	    4.38	   -1.25	    3.79	    5.64	   26.49	
    2.81	    1.37	   -1.80	   -3.67	   -5.83	    0.88	    5.13	    7.38	    1.00	   -3.18	    1.47	
    0.92	    3.89	   -4.49	   -0.39	    4.99	   -1.75	   -2.80	    0.52	   -1.69	   -0.79	    0.93	
   -2.78	   -1.82	    0.53	    8.04	   -5.24	    0.26	    1.28	    6.34	   -0.60	   -2.40	   -5.28	
    6.83	   -5.05	    3.90	    2.39	   -2.33	   -1.02	   -1.03	   -3.48	   -3.25	    1.87	   -1.83	
    4.56	   -2.01	    0.00	   -0.68	    2.41	   -4.38	    1.76	   -3.46	   -1.08	   -3.62	    0.75	
   -2.87	    4.06	   -5.67	    7.89	   -8.36	   -1.90	    9.69	    1.06	    2.10	   -2.05	   -4.90	
    3.93	   -3.03	    0.39	    1.05	   -2.14	   -1.07	    2.21	    4.39	   -4.41	    0.33	    1.22	
   -0.95	    0.16	    1.33	    1.89	   -1.65	    1.63	    0.00	   -2.12	    0.32	   -0.26	   -8.76	
    2.08	   -1.32	   -1.09	    1.72	    1.63	    0.47	   -3.42	    6.90	    1.43	   10.65	   -7.43	
    2.48	   -1.08	    2.30	   -1.79	    0.00	    0.73	    0.47	    0.97	   -0.36	    1.79	   -0.11	
    0.00	    7.72	    2.05	   -6.38	    0.00	    2.28	   -2.20	    4.29	    2.94	    1.59	    0.31	
   -3.86	   -0.27	   -7.62	    6.86	   -3.90	   -4.44	    3.62	    8.35	   -1.04	   -5.06	   -2.32	
    1.29	    6.59	   -3.67	    1.86	   -0.70	    2.93	   -4.25	   -5.64	   -0.05	    1.84	   -1.85	
    6.01	    1.64	   -3.18	    5.27	    2.00	   -1.51	    0.38	    0.76	    3.03	   -3.94	    0.84	
   -2.27	   -6.88	    1.32	    0.44	   -2.60	   -2.75	    4.16	   -2.20	    1.55	    0.24	   -0.64	
   -7.25	    7.44	   -4.58	   -2.58	    7.32	    1.76	   -2.77	   -3.92	   -1.98	   -1.89	    0.90	
   -3.64	   -1.08	    3.95	   -0.52	    3.82	    0.63	    2.52	   11.69	   -8.59	    3.01	   -7.25	
   -4.66	   -0.27	   -0.14	    3.41	    1.58	   -0.26	   -0.52	   -9.93	   -5.81	    1.69	   -3.64	
   11.51	   -3.31	   -1.11	    4.36	   -2.75	    0.59	    2.55	    0.38	   -0.38	   -3.63	    0.26	
   -2.48	    0.24	    2.67	   -2.50	   -0.73	    4.72	    2.17	   -2.19	   -2.74	   -3.19	    1.38	
   -2.16	    1.73	   -7.28	    2.31	    0.04	   -2.21	    3.36	    5.18	   -3.92	   -2.06	   -2.33	
    3.18	    6.94	   -4.00	    3.31	   -0.55	   -0.29	   -0.81	   -0.30	   -1.97	   -2.34	    1.70	
    6.57	   -2.90	   -1.90	    4.40	   -1.76	   -2.43	    0.35	    2.07	   -0.20	   -1.69	   -0.93	
    0.26	   -5.17	    0.80	    0.14	   -0.69	   -0.17	    6.22	   -2.13	   -0.50	    0.34	   -2.51	
    0.83	   -3.14	    5.19	   -1.08	   -1.13	    2.64	    8.68	  -11.66	   -5.04	   -2.48	    0.26	
   -4.24	   -4.01	    0.48	    2.25	   -2.71	   -0.70	   -5.88	   -1.30	   -1.37	    1.10	    0.14	
   -3.50	   -0.83	    1.80	    3.37	   -3.45	    0.07	    0.82	    0.65	    1.61	   -0.35	    2.01	
   -0.76	    0.00	    4.31	   -1.03	   -2.09	    0.00	   -4.57	    5.26	   -3.79	    0.31	   -0.16	
    7.83	   -2.38	    3.88	    3.10	    0.24	   -1.77	   -1.34	   -0.45	   -2.20	   -3.26	   -1.46	
   -5.62	    2.55	   -2.00	   -1.73	    4.13	    3.49	    1.03	   -3.38	   -1.61	    0.16	    1.77	
   -4.27	   -5.85	    4.53	    0.72	   -1.43	   -0.12	    5.95	   -1.11	    2.82	   -2.14	   -2.53	
   10.13	   -2.61	   -1.62	    4.26	   -2.18	    2.09	   -0.25	   -0.76	   -3.26	   -3.90	   -1.36	
   -4.73	    4.96	    5.48	   -2.06	   -2.52	   -4.93	    0.49	    4.18	   -3.07	   -3.41	   -6.05	
   -5.09	    3.90	    0.23	   -1.17	   -0.24	   -2.85	   -1.47	    3.23	    1.68	   -2.84	    0.73	
    3.66	   -3.72	   -4.05	    3.22	    5.85	   -3.13	   -1.14	   -1.73	   -2.35	   -6.01	    1.07	
   -0.27	   -0.29	    0.92	    2.36	    5.98	   -0.81	    1.32	    1.81	   -1.79	    0.04	   -2.72	
    2.73	    3.20	   -2.00	   -3.54	    5.18	   -3.52	    0.40	   -2.05	   -0.42	   -3.61	   -3.21	
   -0.80	   -0.16	    2.72	   -5.78	    5.44	    0.08	    4.15	    3.41	    0.13	    1.18	   -0.76	
   -1.08	    4.56	   -7.50	    5.09	   -3.05	   -3.70	    5.38	    4.01	   -1.58	   -3.92	   -4.45	
    9.47	   -2.88	   -0.37	    6.15	   -1.93	   -1.43	    2.00	   -7.12	   -1.53	   -3.70	   -2.63	
    4.35	    2.45	   -2.63	    9.34	   -0.90	   -1.93	   -1.16	    0.58	   -0.58	   -4.68	   -2.70	
   -4.21	    2.14	   -8.96	    3.20	   -3.97	   -4.65	    5.28	    5.27	   -0.37	   -2.21	   -2.63	
   -1.04	   -0.29	   -2.11	   -4.21	    1.84	   -3.01	   -4.14	    2.91	   -1.78	   -0.85	    3.12	
   -0.96	   -2.58	    3.53	   -2.24	    0.54	    0.76	    9.57	   -5.10	   -0.83	   -4.90	    1.43	
    6.84	   -2.64	   -2.40	    4.06	   -2.47	    0.63	   -0.31	   -2.63	   -1.51	   -2.96	   -1.58	
   -2.49	   -8.12	   -1.17	   -1.74	   -4.07	   -0.06	   -1.85	   -7.12	   -0.07	    0.00	    4.26	
    3.17	   -0.65	   -4.64	    0.69	    8.43	   -4.92	   -0.24	   -1.15	   -1.22	   -1.23	    0.06	
    7.08	   -5.80	   -0.18	    5.43	   -0.70	   -3.06	    0.18	   -0.36	   -2.19	    0.00	   -0.44	
    0.00	   -1.72	   -0.77	    0.85	   -1.33	    2.35	    4.17	    8.53	    1.72	    0.30	   -4.27	
   -2.20	    0.32	   -0.96	    0.32	   -1.42	    0.52	    4.17	    0.12	    2.12	   -3.12	    2.21	
    1.24	    0.12	    0.74	    0.79	    0.42	   -0.12	    4.64	   -0.40	   -2.31	   -1.71	    1.74	
    0.10	   -6.02	    2.68	   -3.37	   -2.77	    4.78	    1.64	   -0.69	   -3.59	   -2.41	    1.24	
    5.38	   -6.51	    7.14	   -0.29	   -1.15	   -2.55	    2.59	   -2.95	   -3.31	   -2.72	    0.40	
    3.85	   -0.56	    1.86	    4.02	    0.00	   -1.05	    0.89	    7.75	    1.80	   -3.21	    1.82	
   -3.94	   -0.82	   -0.66	   -0.67	   -4.52	   -2.81	    3.43	    4.54	   -4.17	   -2.26	   -4.10	
   -2.20	   -8.64	    1.94	   -0.25	   -1.02	   -2.57	    5.94	   -4.61	    1.05	   -2.72	   -2.66	
    7.37	   -3.56	    0.96	    2.71	   -2.37	   -0.54	   -0.68	   -0.27	   -1.51	   -0.28	   -0.98	
    1.62	   -7.15	    4.26	   -0.34	   -0.32	   -0.62	    0.05	   -0.27	   -1.82	   -2.24	    3.38	
    0.52	   -5.90	    4.32	   -2.37	   -4.11	    7.52	    5.09	    0.00	   -2.50	   -2.10	    1.95	
    5.38	   -8.13	    0.29	    3.28	    0.34	   -1.98	    0.12	    2.57	   -1.63	   -2.29	    0.85	
   -2.81	   -4.23	    6.26	    0.06	   -3.08	    0.40	    4.49	    0.50	    0.06	   -3.39	    1.27	
    7.38	   -2.92	   -2.15	    4.69	   -1.55	   -1.19	    1.72	   -5.92	   -0.27	   -4.06	   -1.46	
   -0.86	   -3.74	   -0.09	    0.86	   -1.63	   -1.04	    6.02	   -5.97	    0.35	   -0.79	    1.15	
   -4.14	   -2.77	    1.90	   -2.68	   -0.38	    0.83	   -1.78	    0.19	    3.17	   -0.38	   -1.32	
    1.47	   -4.67	    1.99	   -1.82	    0.86	    1.11	    9.92	   -0.88	   -1.96	   -3.70	    4.85	
    3.41	   -0.42	   -1.35	    3.12	   -0.28	    1.69	   -0.84	    0.06	   -0.41	   -0.66	    0.28	
   -0.25	    0.10	    1.85	   -1.55	   -0.27	    2.62	    0.10	    1.07	   -1.28	    1.30	   -0.02	
    7.22	    2.13	   -3.47	    0.00	    1.08	    0.36	    0.28	    3.25	   -1.03	    2.77	   -0.34	
    0.13	    0.00	   -0.67	    2.23	    0.79	   -2.30	   -1.01	    3.05	    2.30	   -1.93	    4.92	
   -1.03	    0.35	    3.46	    3.34	   -4.21	    0.34	  -10.44	   -0.38	   -0.75	    6.92	   -0.43	
   -1.87	    3.63	   -3.25	   -4.31	   -0.36	    1.27	    1.16	    0.00	    0.26	    0.88	   -0.17	
   -0.09	   -0.36	    1.36	    0.00	   -0.18	    0.18	   18.09	    8.60	   -8.55	    0.30	   -5.23	
   -5.17	    2.00	   -4.17	    1.89	   -2.58	   -2.98	    0.77	    1.27	   -2.92	   -3.10	    0.44	
   -2.48	   -6.27	    4.37	    1.09	   -1.87	   -2.93	    7.48	    8.35	    1.21	   -2.56	   -4.16	
    5.90	   -3.31	   -1.10	    3.72	   -2.20	   -0.56	    0.60	    1.76	   -0.66	   -4.84	   -1.17	
    0.97	    0.00	    0.00	    1.37	    5.41	    0.00	    0.00	    0.00	    0.00	    0.00	    0.00	
    2.73	   -0.89	   -0.38	   -3.47	   -1.06	    2.15	   11.58	   -0.94	   -1.90	   -4.98	   -2.43	
    0.60	   -1.80	   -2.04	    0.05	    1.62	   -2.97	   -0.39	    4.05	    1.21	    0.91	    8.80	
   -0.14	   -0.41	    1.91	    2.07	    0.27	    1.14	    9.78	    5.80	   -0.38	   -0.84	    0.32	
   -0.37	   -1.05	   -7.43	    0.86	    0.28	   -0.28	   -1.42	    9.22	   -2.11	   -1.62	   -1.64	
   -2.15	    0.65	   -5.29	    6.36	   -2.00	    2.11	    6.49	   -1.52	   -1.30	   -1.20	   -3.45	
   -1.42	    1.25	    7.37	   -1.72	    1.29	    1.82	    1.50	   -6.95	   -1.14	   -3.37	   -0.44	
   -2.58	   -0.42	   -8.50	    4.62	   -2.83	   -3.58	    5.30	    3.29	   -0.80	   -2.57	   -2.67	
    6.25	    3.55	   -3.76	    3.94	    0.63	   -1.58	   -1.88	   -2.15	    0.06	   -2.28	   -2.89	
   -1.97	    2.62	    4.18	   -0.16	    0.33	    0.82	    0.57	   -8.14	    0.88	    0.87	    3.02	
    0.87	    3.02	   -0.84	   -3.21	   -0.61	    5.79	   -1.66	    1.10	   -2.00	   -3.83	   -3.10	
    4.14	   -1.26	   -3.93	    3.52	   -1.10	   -0.28	   -1.40	   -0.57	    0.67	    0.57	    2.63	
   -1.26	   -3.93	    3.52	   -1.10	   -0.28	   -1.40	   -0.57	    0.67	    0.57	    2.63	   -3.84	
    3.81	    3.22	    0.88	    3.43	    3.64	   -0.77	   -2.77	   -4.34	    2.98	    4.03	    0.18	
   -0.15	    1.51	   -1.53	   -4.07	    2.04	   -0.51	    4.44	    1.43	   -4.68	    1.69	    1.56	
    0.26	   -4.33	  -15.71	   -4.60	    3.41	   -3.51	    3.19	    0.83	    1.42	   -2.48	    0.61	
    1.74	    7.93	   -2.33	    2.10	    1.03	   -2.22	   -1.79	    0.00	    1.06	   -3.62	   -3.06	
   -1.75	    1.48	   -5.64	    2.37	   -3.02	    0.83	    0.62	    7.78	   -3.51	    0.20	   -4.13	
    3.39	   -5.29	    5.32	    2.27	    0.00	   -0.49	    4.22	    7.86	   -2.87	   -1.36	    1.61	
    0.00	   -2.71	   11.15	   -6.13	   -3.56	    3.08	    1.79	    9.09	    3.49	    0.26	   -0.78	
   -2.90	    5.98	   -0.22	    1.52	    0.00	   -4.50	   13.45	   -2.17	   -4.04	   -1.26	    1.28	
   17.74	   -4.36	   -1.71	    5.02	   -4.41	   -1.92	    0.20	   -2.54	   -0.40	    0.20	   -4.43	
    0.49	   -0.24	    4.38	   -2.33	    0.24	    0.48	    1.42	    6.31	    0.00	   -2.86	   -0.45	
   -0.92	    2.10	    0.46	    0.00	   -2.50	    2.33	   -2.96	   -2.58	   -2.41	    0.99	   -0.49	
   -0.63	   -2.73	    0.86	   -2.36	   -1.32	    3.11	    0.43	   -2.58	   -4.41	    0.92	   -2.28	
    0.91	   -0.74	   -0.12	    5.75	    1.62	    2.59	    2.52	   -0.22	   -0.83	    2.26	    1.07	
    2.38	    3.61	    1.56	   -3.40	    0.16	    0.28	   -0.51	   -0.57	    4.21	   -2.45	    2.07	
    0.69	   -6.33	    0.10	    2.21	    0.62	    0.62	    0.19	    0.77	    2.82	   -5.79	   -1.55	
    4.73	    0.52	    5.22	   -2.12	    1.66	    1.08	    1.62	   -4.18	    1.72	    2.60	   -0.13	
    2.49	   -2.87	    0.75	    0.00	    1.16	   -1.53	    3.43	   -0.97	    0.69	   -6.33	    0.10	
    0.40	    0.20	    1.77	    3.29	    4.49	   -2.33	   -1.47	    0.93	   -1.29	   -2.99	    1.16	
   -4.80	    1.68	   -4.13	    0.65	    1.93	    1.60	    2.36	    3.84	   -1.36	   -2.17	   -1.41	
    0.00	   -0.99	   -0.75	    1.31	   -1.74	   -2.57	    3.21	    0.40	    1.20	   -1.68	    0.75	
    2.16	    1.71	   -1.37	   -0.85	   -3.21	    0.05	    2.01	   -0.92	   -1.11	   -0.42	    1.88	
    1.67	    0.85	   -0.64	    1.49	    1.56	    0.63	    4.21	    0.55	   -2.42	   -1.12	   -0.19	
   -2.88	    2.84	    4.51	    3.96	    9.46	    0.11	   -1.68	   12.53	   -1.43	    0.48	    4.23	
   -0.49	    0.00	    2.94	   -1.52	    4.45	    1.39	   -4.38	    0.00	   -0.29	   -0.38	    2.40	
    0.48	    4.23	   -3.23	    1.62	   -0.75	   -5.57	    1.30	   -0.99	    0.90	   -1.68	    2.11	
   -1.66	    0.98	   -0.79	   -0.80	    1.43	   -0.97	    1.96	   -4.27	    0.46	   -1.72	   -3.69	
    1.30	    0.83	    0.55	    0.45	    1.44	   -1.95	   -0.36	    0.27	   -0.82	    0.09	   -0.09	
    1.56	   -2.43	    0.37	   -2.58	    2.55	   -3.32	   -1.62	   -1.36	    4.42	   -1.22	   -0.29	
   -0.07	   -0.33	    0.40	    0.00	   -2.37	   -1.35	   -0.68	   -0.34	    2.77	    1.01	   -1.00	
   -0.34	    2.77	    1.01	   -1.00	    0.34	   -1.41	   -0.61	   -1.03	    0.00	   -0.35	   -0.69	
   -0.74	   -2.23	   -5.97	    2.54	    2.59	   -1.10	   -1.78	    7.46	    1.37	   -1.35	    2.00	
    0.32	    6.00	   -4.34	   -1.58	    7.08	   -0.10	   -0.20	   -4.52	   -2.63	   -0.54	   -4.89	
   -2.25	   -2.76	   -7.78	    2.29	    0.57	   -1.39	   -5.05	    5.67	   -3.19	    0.52	   -2.07	
    0.45	   10.78	   -2.53	   -3.64	    5.22	   -3.93	    1.42	    2.98	   -2.39	    0.00	   -3.66	
   -0.75	    4.18	    2.55	    5.87	    5.21	    0.48	   -2.07	    1.46	   -1.60	   -3.41	   -2.02	
    0.41	   15.82	   -8.63	    0.14	   -9.00	    0.53	   -0.79	    0.80	    1.84	    4.13	    2.58	
    0.98	   -2.22	    1.14	    2.10	   -1.44	    0.53	   -3.91	    3.77	    0.00	   -2.42	    0.00	
   -2.53	    2.39	    1.32	   -2.35	   -1.79	    1.04	    0.52	   16.45	   -7.95	   -2.88	    1.23	
    5.88	   -1.77	   -2.06	    2.10	   -4.88	   -2.43	   -1.11	  -12.32	    7.67	   -7.12	   -3.83	
   -7.12	   -3.83	    5.98	   -1.88	   -1.60	    3.25	    7.55	   20.76	   -2.91	    4.49	    6.21	
    9.11	    2.92	   -5.27	    5.78	   13.16	    3.58	   -6.74	   14.81	   10.65	   -1.75	    7.86	
    0.50	   -0.59	   -5.47	    4.00	   -2.02	   -0.52	    8.10	   -6.82	    1.75	   -4.05	   -4.44	
   -2.60	   -2.03	    4.79	   -2.28	   -1.49	    0.76	    0.86	   -2.44	   -0.76	   -4.39	    2.52	
    9.74	  -10.24	   -1.86	    0.34	    9.64	    1.11	    2.61	   -6.81	   -0.76	   -5.25	    1.08	
    0.55	    0.00	    3.30	   -0.06	   -3.08	    3.91	   -0.65	   -0.95	   -0.72	  -10.22	   -0.20	
    1.91	   -5.84	    6.35	   -0.07	   -0.29	    0.29	   -0.29	   -0.07	   -3.47	    0.07	    0.67	
    0.00	   -4.15	    4.92	   -1.78	   -3.11	    5.08	    3.41	    1.03	   -3.40	   -3.31	   -0.87	
   -0.83	   -5.21	    6.15	    1.86	   -1.42	    1.03	    8.57	   -2.26	   -4.62	   -2.82	   -0.21	
    6.33	   -1.34	    2.33	    1.90	   -0.93	   -1.88	    4.22	    0.18	   -1.29	    0.56	   -2.59	
    0.00	    0.56	   -0.83	    2.80	   -1.36	    0.00	   -0.28	   -2.44	   -0.06	   -0.57	   -1.14	
    1.44	   -1.36	    2.25	   -0.56	    1.42	   -1.56	   -0.11	    0.85	    3.66	   -2.17	   -1.39	
   10.25	    0.36	    6.25	    2.17	   -0.02	   -1.73	    0.64	   -5.35	    0.00	    0.27	   -4.69	
   -4.80	    0.29	    0.38	   -2.29	   -0.39	    0.99	    1.07	   12.44	   -2.99	   -1.60	   -3.02	
   -1.91	    1.10	   -7.18	    3.96	   -6.17	   -3.56	    4.17	    1.31	   -3.19	   -4.32	   -0.90	
    3.21	    6.85	   -6.06	    3.47	   -0.76	   -1.09	   -0.28	    3.27	   -1.82	   -3.30	   -3.04	
   -2.68	    3.62	   -3.25	    3.21	    0.17	    1.21	   -6.08	    7.78	   -1.11	   -1.98	   -2.61	
   -3.52	    0.31	   -4.26	    1.27	    3.02	    5.05	   -1.30	    3.02	   -1.47	   -0.56	   -0.93	
    4.37	   -3.66	   -2.36	    4.82	   -2.48	   -1.81	    2.40	   -5.23	   -1.33	   -1.54	   -3.33	
   -1.31	    1.52	   -0.93	    1.32	    0.00	   -0.74	    3.00	   -6.19	    5.63	   -0.55	    1.29	
    8.89	   -3.34	   -2.44	    4.30	   -3.76	   -1.74	    2.48	   -4.42	   -1.86	   -4.48	   -2.28	
   -1.15	   -9.06	    3.41	   -3.04	   -4.41	    4.22	    2.13	   -0.89	   -3.32	   -1.69	    1.11	
   -0.90	    1.88	    1.99	   -3.09	   -1.52	    0.99	    2.79	    1.42	   -0.27	   -1.27	   -1.63	
    1.99	   -4.17	    1.19	    1.18	   -1.78	   -0.84	    3.66	   -1.49	   -0.90	   -2.71	    0.36	
    0.00	   -3.08	    1.03	    2.17	    0.58	   -2.95	    7.54	   -0.84	   -0.11	   -2.74	   -2.55	
    0.04	   -2.45	    4.01	   -0.76	    1.52	   -0.56	    0.53	   -2.81	   -0.23	   -1.47	    1.18	
   -0.80	   -2.70	   -4.38	    1.68	    4.84	    0.54	    1.35	    0.00	    0.53	   -2.65	    1.63	
    0.53	   -1.32	    0.00	    3.20	    1.29	    1.28	   -2.27	    2.32	   -3.02	   -3.38	   -7.26	
    5.64	   -0.53	   -3.86	    6.37	    1.26	    0.73	   -5.95	    1.54	    0.99	   -4.36	   -0.47	
   -3.27	   -1.76	   -8.26	    3.44	   -1.13	   -1.61	   -2.10	    4.21	    0.15	   -1.83	   -4.73	
    4.03	    1.23	   -5.22	    4.74	    0.00	    0.06	   -0.61	   -0.92	   -0.31	   -3.30	   -2.19	
